#{"t_start": 1563907828.7900326, "env_id": "gymXplane-v2"}
r,l,t
1748.991895,666,37062.570393
837.757114,326,37099.554523
79.276304,104,37111.336707
1878.799843,613,37180.698961
351.564394,164,37199.280547
2488.072725,884,37299.112791
2847.358649,787,37387.980694
24480.11438,7927,38284.646569
8103.722994,2775,38598.240241
814.094472,326,38635.291704
69.591988,105,38647.096662
10329.479434,3291,39019.182424
6773.58177,2164,39264.126699
5139.343482,1626,39447.952855
5965.990324,1828,39655.578449
8235.452926,2855,39978.582956
78.618331,105,39990.530741
4073.320489,1360,40144.330434
768.857717,233,40170.771051
3966.80903,1555,40346.694891
3219.795587,841,40441.961499
39.291091,95,40452.70456
2817.713618,806,40544.296125
1131.396394,493,40600.463823
-22.338197,1,40600.567798
-20.348282,3,40600.90867
831.026785,255,40629.722637
58.704732,102,40641.454466
2089.206227,764,40728.274636
16397.433052,5472,41348.560987
66.591655,103,41360.211389
-20.221309,3,41360.577529
804.872857,327,41397.609426
848.344797,342,41436.388701
4438.37603,1362,41590.441859
6072.66732,2101,41828.081515
8106.403507,2586,42120.634543
1300.449745,529,42180.485405
10545.74281,3436,42569.584838
3495.068135,1204,42706.08461
16571.310574,5465,43325.415005
745.423006,58,43332.012926
2431.585205,915,43435.710773
1637.893538,625,43506.548922
-9.548037,10,43507.668527
2507.270335,903,43610.079401
810.949325,325,43646.925452
1662.805179,367,43688.519976
23.058736,86,43698.227284
2623.825329,989,43810.44506
3250.193527,965,43919.787095
1165.259294,517,43978.524766
1608.187578,525,44037.85923
3937.624265,1335,44189.657967
1537.156328,287,44222.02141
1682.85161,542,44283.241149
2681.554774,920,44388.101116
63.458039,102,44399.641788
852.664958,335,44437.712198
3430.039117,1193,44573.258831
2407.822248,750,44658.264381
6069.695509,1872,44871.031265
50.284436,96,44882.040977
-22.536517,1,44882.155257
1655.134527,568,44946.589788
4851.05762,1655,45134.484777
798.477207,320,45171.039482
4683.105959,1590,45351.464848
1815.195531,587,45418.067931
